CMDLINE python app.py
MEM 0.187500 1740567308.3729
MEM 27.718750 1740567308.4780
MEM 27.718750 1740567308.5833
MEM 27.718750 1740567308.6885
MEM 27.750000 1740567308.7918
MEM 36.000000 1740567308.8926
MEM 47.625000 1740567308.9977
MEM 48.750000 1740567309.1028
MEM 52.859375 1740567309.2080
MEM 63.234375 1740567309.3131
MEM 68.125000 1740567309.4182
MEM 78.453125 1740567309.5233
MEM 86.953125 1740567309.6274
MEM 95.218750 1740567309.7325
MEM 105.218750 1740567309.8377
MEM 132.234375 1740567309.9429
MEM 152.437500 1740567310.0481
MEM 173.453125 1740567310.1512
MEM 186.234375 1740567310.2564
MEM 195.859375 1740567310.3608
MEM 207.625000 1740567310.4660
MEM 219.078125 1740567310.5663
MEM 228.843750 1740567310.6692
MEM 237.562500 1740567310.7743
MEM 244.671875 1740567310.8794
MEM 250.109375 1740567310.9845
MEM 253.875000 1740567311.0897
MEM 263.859375 1740567311.1941
MEM 269.375000 1740567311.2992
MEM 277.609375 1740567311.4044
MEM 281.484375 1740567311.5095
MEM 285.984375 1740567311.6146
MEM 292.031250 1740567311.7198
MEM 297.421875 1740567311.8250
MEM 300.046875 1740567311.9301
MEM 299.812500 1740567312.0340
MEM 314.046875 1740567312.1392
